Date ,Stock,Open,High,Low,Last,Volume,
05-08-2020,DMW ,6.99 ,7.10 ,6.80 ,6.99 ,85.2K ,
05-08-2020,DNL ,5.00 ,5.19 ,4.97 ,5.19 ,971K ,
05-08-2020,EAGLE ,8.70 ,8.70 ,8.51 ,8.59 ,60K ,
05-08-2020,ECP ,7.71 ,8.45 ,7.61 ,7.66 ,311.7K ,
05-08-2020,EEI ,5.24 ,5.34 ,5.22 ,5.25 ,394.7K ,
05-08-2020,ELI ,0.29 ,0.29 ,0.29 ,0.29 ,30K ,
05-08-2020,EMP ,7.85 ,7.86 ,7.81 ,7.83 ,1.12M ,
05-08-2020,EURO ,2.65 ,2.68 ,2.38 ,2.49 ,1.9M ,
05-08-2020,EW ,7.74 ,7.74 ,7.60 ,7.62 ,238.2K ,
05-08-2020,FB ,58.95 ,59.00 ,58.00 ,59.00 ,192.15K ,
05-08-2020,FDC ,8.17 ,8.17 ,8.17 ,8.17 ,600 ,
05-08-2020,FERRO ,2.62 ,2.62 ,2.53 ,2.53 ,80K ,
05-08-2020,FGEN ,18.60 ,18.80 ,18.32 ,18.48 ,204.4K ,
05-08-2020,FJP ,2.93 ,2.93 ,2.93 ,2.93 ,3K ,
05-08-2020,FLI ,0.96 ,0.96 ,0.94 ,0.94 ,3.5M ,
05-08-2020,FMETF ,87.00 ,87.00 ,85.95 ,86.05 ,13.02K ,
05-08-2020,FNI ,0.84 ,0.85 ,0.82 ,0.83 ,3.16M ,
05-08-2020,FOOD ,0.55 ,0.55 ,0.53 ,0.53 ,1.04M ,
05-08-2020,FPH ,57.50 ,57.50 ,57.40 ,57.40 ,3.12K ,
05-08-2020,FPHPC ,495.00 ,505.00 ,495.00 ,505.00 ,1.17K ,
05-08-2020,FPI ,0.1920 ,0.1920 ,0.1920 ,0.1920 ,10K ,
05-08-2020,FRUIT ,1.39 ,1.40 ,1.35 ,1.35 ,8.53M ,
05-08-2020,GEO ,0.2010 ,0.2050 ,0.2010 ,0.2050 ,20K ,
05-08-2020,GERI ,0.85 ,0.85 ,0.80 ,0.80 ,1.04M ,
05-08-2020,GLO ,2,202.00 ,2,240.00 ,2,150.00 ,2,150.00 ,103.99K ,
05-08-2020,GMA7 ,5.40 ,5.45 ,5.10 ,5.17 ,5.2M ,
05-08-2020,GMAP ,5.00 ,5.10 ,4.91 ,4.97 ,112.6K ,
05-08-2020,GPH ,9.11 ,12.44 ,9.11 ,12.42 ,2K ,
05-08-2020,GREEN ,1.27 ,1.30 ,1.23 ,1.28 ,2M ,
05-08-2020,GSMI ,31.35 ,31.35 ,30.00 ,31.30 ,7.9K ,
05-08-2020,GTCAP ,420.40 ,424.00 ,408.00 ,412.20 ,168.71K ,
05-08-2020,GTPPB ,998.50 ,998.50 ,980.00 ,980.00 ,650 ,
05-08-2020,HI ,3.69 ,3.69 ,3.60 ,3.60 ,39K ,
05-08-2020,HLCM ,11.30 ,11.30 ,11.12 ,11.30 ,1.05M ,
05-08-2020,HOME ,6.00 ,6.03 ,6.00 ,6.00 ,345.6K ,
05-08-2020,HOUSE ,10.50 ,10.50 ,10.40 ,10.40 ,20.5K ,
05-08-2020,HVN ,312.00 ,312.00 ,311.80 ,311.80 ,110 ,
05-08-2020,I ,0.95 ,0.95 ,0.95 ,0.95 ,3K ,
05-08-2020,ICT ,83.50 ,84.95 ,81.80 ,83.00 ,4.26M ,
05-08-2020,IDC ,2.05 ,2.08 ,1.90 ,1.93 ,8.11M ,
05-08-2020,IMI ,5.30 ,5.43 ,5.26 ,5.32 ,257K ,
05-08-2020,IMP ,1.12 ,1.26 ,1.12 ,1.25 ,52K ,
05-08-2020,ION ,1.14 ,1.20 ,1.13 ,1.19 ,343K ,
05-08-2020,IRC ,0.80 ,0.80 ,0.78 ,0.80 ,365K ,
05-08-2020,IS ,0.0810 ,0.0810 ,0.0810 ,0.0810 ,30K ,
05-08-2020,JFC ,138.50 ,139.50 ,135.20 ,136.00 ,626.35K ,
05-08-2020,JGS ,49.60 ,49.65 ,48.95 ,49.25 ,1.51M ,
05-08-2020,JOH ,6.68 ,6.75 ,5.28 ,5.60 ,69.7K ,
05-08-2020,KPPI ,7.44 ,7.44 ,7.13 ,7.20 ,67K ,
05-08-2020,LBC ,13.98 ,13.98 ,13.98 ,13.98 ,5.3K ,
05-08-2020,LC ,0.0790 ,0.08 ,0.0790 ,0.0790 ,2.83M ,
05-08-2020,LCB ,0.0830 ,0.0850 ,0.0830 ,0.0830 ,910K ,
05-08-2020,LIHC ,0.51 ,0.55 ,0.51 ,0.53 ,69K ,
05-08-2020,LOTO ,1.96 ,2.01 ,1.95 ,2.00 ,33K ,
05-08-2020,LPZ ,2.69 ,2.79 ,2.56 ,2.76 ,4.94M ,
05-08-2020,LR ,1.47 ,1.51 ,1.47 ,1.51 ,346K ,
05-08-2020,LRW ,0.79 ,0.79 ,0.72 ,0.79 ,24K ,
05-08-2020,LTG ,7.60 ,7.70 ,7.52 ,7.56 ,288.6K ,
05-08-2020,MA ,0.0065 ,0.0065 ,0.0065 ,0.0065 ,1M ,
05-08-2020,MAC ,4.32 ,4.41 ,4.32 ,4.37 ,3.88M ,
05-08-2020,MACAY ,6.20 ,6.80 ,6.20 ,6.80 ,200 ,
05-08-2020,MAH ,2.55 ,2.59 ,2.40 ,2.41 ,1.8M ,
05-08-2020,MARC ,0.56 ,0.56 ,0.56 ,0.56 ,1K ,
05-08-2020,MAXS ,6.36 ,6.36 ,6.15 ,6.15 ,355.5K ,
